Title,Level,Equipment,Desc,BodyPart,Video,
Weighted Crunches,Intermediate,Other,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Abdominals,https://www.youtube.com/embed/Mzi-sJnhm64?si=7mTjOC4RWOCKWZ02,
Weighted Sit-Ups - With Bands,Intermediate,Other,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Abdominals,None,
Weighted Crunch - Gethin Variation,Intermediate,Other,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Abdominals,None,
Weighted sit-up,Intermediate,Other,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Abdominals,None,
Suspended oblique crunch,Intermediate,Other,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.",Abdominals,None,
Suspended crunch-,Intermediate,Other,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.",Abdominals,None,
Suspended ab fall-out,Intermediate,Other,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",Abdominals,None,
Suitcase crunch,Intermediate,Other,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",Abdominals,None,
Sledgehammer swing,Intermediate,Other,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,Abdominals,None,
Single-arm bent-over rear delt fly,Intermediate,Other,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",Abdominals,None,
30 Seated Twist With PVC Pipe,Intermediate,Other,The seated bar twist is a core exercise aiming to strengthen the obliques.,Abdominals,None,
Reverse ab roll-out,Intermediate,Other,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.",Abdominals,None,
Landmine twist,Intermediate,Other,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Abdominals,https://www.youtube.com/embed/QDakeCOBdDE?si=of9uXDEPkXurIpJ6,
Decline reverse crunch,Intermediate,Other,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Abdominals,https://www.youtube.com/embed/M_SU5KtMDmw?si=7aQDBinaHLg7z0pq,
Decline plate sit-up twist,Intermediate,Other,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Abdominals,None,
30 Decline Press Sit-Up,Intermediate,Other,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,Abdominals,None,
Ab Twist - Gethin Variation,Intermediate,Other,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",Abdominals,None,
